employee name,email address,phone number
Alice Mutton,AliceMutton@helpinghands.cm,695845821
Aniseed Syrup,AniseedSyrup@helpinghands.cm,622586982
Boston Crab,BostonCrab@helpinghands.cm,695842456
Bartholom Simspson,barthSimpson@helpinghands.cm,687542103
Bary Allen,baryAllen@helpinghands.cm,698752015
Bruce Wayne,bruceWayne@helpinghands.cm,645787852
Beast Boy,beastboy@helpinghands.cm,658742315
Carlos Siang,carlossiang@helpinghands.cm,658987525
Charlie Paul,PaulCharlie@helpinghands.cm,654871236
Connie Hitton,ConnieHit@helpinghands.cm,675423568
Comy Ali,comyAli@helpinghands.cm,685754213
Cyborg teen,CyborgTeen@helpinghands.cm,698754236
Danny Dog,DannyDog@helpinghands.cm,698574235
Dana Henry,DanaHenry@helpinghands.cm,695875452
Din Winshester,DinWinshester@helpinghands.cm,653210405
Diana Amand,Dianaamand@helpinghands.cm,654789852
Edna Garson,EdnaGarson@helpinghands.cm,622252427
Edward Elric,EdwardElric@helpinghands.cm,698857452
Finn Advan,FinnJake@helpinghands.cm,698852535
Grayson Martin,GraysonMartin@helpinghands.cm,689858752
Garry alain,GarryAlain@helpinghands.cm,689858745
Helen Park,HelenPark@helpinghands.cm,632353938
Ivan diono,Ivandiono@helpinghands.cm,688754215
John Cena,JohnCena@helpinghands.cm,658857456
Johny Cage,JohnyJohny@helpinghands.cm,600254521
Kathy Perry,KathyPerry@helpinghands.cm,698745205
Leonardo Dikaprio,LeonardoDikaprio@helpinghands.cm,698898523
Yvonne Mimp,YvonneMimp@helpinghands.cm,689587452
Samy Rogers,SamyRogers@helpinghands.cm,658789852
