employee name,email address,phone number
Alice Mutton,AliceMutton@handsinhand.org,695845821
Aniseed Syrup,AniseedSyrup@handsinhand.org,622586982
Boston Crab,BostonCrab@handsinhand.org,695842456
Bartholom Simspson,barthSimpson@handsinhand.org,687542103
Bary Allen,baryAllen@handsinhand.org,698752015
Bruce Wayne,bruceWayne@handsinhand.org,645787852
Beast Boy,beastboy@handsinhand.org,658742315
Carlos Siang,carlossiang@handsinhand.org,658987525
Charlie Paul,PaulCharlie@handsinhand.org,654871236
Connie Hitton,ConnieHit@handsinhand.org,675423568
Comy Ali,comyAli@handsinhand.org,685754213
Cyborg teen,CyborgTeen@handsinhand.org,698754236
Danny Dog,DannyDog@handsinhand.org,698574235
Dana Henry,DanaHenry@handsinhand.org,695875452
Din Winshester,DinWinshester@handsinhand.org,653210405
Diana Amand,Dianaamand@handsinhand.org,654789852
Edna Garson,EdnaGarson@handsinhand.org,622252427
Edward Elric,EdwardElric@handsinhand.org,698857452
Finn Advan,FinnJake@handsinhand.org,698852535
Grayson Martin,GraysonMartin@handsinhand.org,689858752
Garry alain,GarryAlain@handsinhand.org,689858745
Helen Park,HelenPark@handsinhand.org,632353938
Ivan diono,Ivandiono@handsinhand.org,688754215
John Cena,JohnCena@handsinhand.org,658857456
Johny Cage,JohnyJohny@handsinhand.org,600254521
Kathy Perry,KathyPerry@handsinhand.org,698745205
Leonardo Dikaprio,LeonardoDikaprio@handsinhand.org,698898523
Yvonne Mimp,YvonneMimp@handsinhand.org,689587452
Samy Rogers,SamyRogers@handsinhand.org,658789852
